"method","p1_val","p2_val","p3_val","p1_name","p2_name","p3_name","U_r","AUC","BPS"
"trees.1","0.0212121212121212",NA,NA,"treescp",NA,NA,"0.453244400527009","0.634237300541648","0.0651949138597408"
"trees.2","0.0272727272727273",NA,NA,"treescp",NA,NA,"0.237984921680574","0.525145171521983","0.0699033244933057"
"trees.3","0.0121212121212121",NA,NA,"treescp",NA,NA,"0.164763577807056","0.548607451324843","0.0761936467110719"
"trees.4","0",NA,NA,"treescp",NA,NA,"0.327501463914507","0.655382325672181","0.0800955416452946"
"knn.1","49",NA,NA,"knnk",NA,NA,"0.403998316498316","0.715397330795882","0.0602744988998746"
"knn.2","7",NA,NA,"knnk",NA,NA,"0.166835016835017","0.595080332308593","0.0758605783663209"
"knn.3","29",NA,NA,"knnk",NA,NA,"0.0940711462450593","0.556560166886254","0.0728384997726974"
"knn.4","15",NA,NA,"knnk",NA,NA,"0.412774483970136","0.767505672668716","0.0585717480838966"
"rf.1","16","2",NA,"nodesize","rfmtry",NA,"0.305286561264822","0.697432964914849","0.0602244903087672"
"rf.2","14","3",NA,"nodesize","rfmtry",NA,"0.116926511491729","0.614851717659689","0.0729806918526031"
"rf.3","2","2",NA,"nodesize","rfmtry",NA,"-0.0153582930756844","0.524325684380032","0.0797898799864774"
"rf.4","16","9",NA,"nodesize","rfmtry",NA,"0.342259552042161","0.75322823647099","0.0577628882691007"
"svm.1","0.5","0.01",NA,"svmg","svmc",NA,"0.350435514565949","0.618307470843703","0.0620385161066801"
"svm.2","0.5","0.0266666666666667",NA,"svmg","svmc",NA,"0.18900600204948","0.539239618406285","0.0620625838416214"
"svm.3","0.00048828125","0.0266666666666667",NA,"svmg","svmc",NA,"0.13328026643244","0.72651576147953","0.064177536578368"
"svm.4","0.03125","8",NA,"svmg","svmc",NA,"0.488447884643537","0.793071414629386","0.0511835594819536"
"nen.1","0.1","3",NA,"nendecay","nensize",NA,"0.480555555555556","0.710744522519885","0.0599038368905548"
"nen.2","0.1","2",NA,"nendecay","nensize",NA,"0.270099546186503","0.576562118772264","0.0640542417370423"
"nen.3","10","1",NA,"nendecay","nensize",NA,"0.121887351778656","0.70021287756795","0.0694326660756196"
"nen.4","0.1","7",NA,"nendecay","nensize",NA,"0.365076489533011","0.772594910457229","0.0550523537750303"
